id,created_at,text
862722525377298433,2017-05-11 17:34:13,"b""This is Dave. He passed the h*ck out. It's barely the afternoon on a Thursday, Dave. Get it together. Still 11/10 w\xe2\x80\xa6 https://t.co/RGMQzkgo9c"""
862698176012320769,2017-05-11 15:57:27,"b""@starstrickenSF @wf_atx @kalesalad Wow I'm usually good about tracking down the original. You even tagged me. I apologize"""
862517696700854274,2017-05-11 04:00:18,b'RT @LittleSkyz: Hey everyone Radar needs your help! he needs surgery for his broken hip any donations or retweets are appreciated \xe2\x9d\xa4\xef\xb8\x8fhttps:/\xe2\x80\xa6'
862457590147678208,2017-05-11 00:01:27,"b'This is Jersey. He likes to watch movies, but only if you watch with him. Enjoys horror films like The Bababork and\xe2\x80\xa6 https://t.co/5DPDPGiFMr'"
862418272276361220,2017-05-10 21:25:13,b'RT @zboah: Ok did it work this time https://t.co/Tkz5uvep5n'
862413649201295360,2017-05-10 21:06:51,b'RT @Patimayonnaise: v good dog https://t.co/JGFa13xrHC'
862367609043513345,2017-05-10 18:03:54,"b""RT @guzzzyy: this is the best thing I've seen all week https://t.co/KPksPV9SQ8"""
862100720530722818,2017-05-10 00:23:23,b'@politico this is so much worse than it sounds'
862096992088072192,2017-05-10 00:08:34,"b""We only rate dogs. Please don't send perfectly toasted marshmallows attempting to drive. Thank you... 13/10 https://t.co/nvZyyrp0kd"""
861769973181624320,2017-05-09 02:29:07,"b'RT @dog_rates: ""Good afternoon class today we\'re going to learn what makes a good boy so good"" 13/10 https://t.co/f1h2Fsalv9'"
861754482329309186,2017-05-09 01:27:33,b'@syd_blackwell @Stevencalcutt thin ice Sarah'
861704576084344833,2017-05-08 22:09:15,b'RT @KodaSamoyed: tried to get some pics of koda and i wearing my new @dog_rates hat! are we doing it right? https://t.co/yDCgIrQj6A'
861701454532407296,2017-05-08 21:56:51,b'RT @GoodDogsGame: soon @GoodDogsGame will be visiting the City of Puppy-Love.\n\nPlay Now! https://t.co/Cz8YHzzNlt \n\nIls sont tous bons chien\xe2\x80\xa6'
861627682131521536,2017-05-08 17:03:42,b'@hayleeeyrenee @GoodDogsGame'
861626450687950853,2017-05-08 16:58:48,b'RT @zyerahh: She was scared that I was in the pool so she jumped in with me omg https://t.co/YT5SCL7cQt'
861577893721276416,2017-05-08 13:45:51,"b""@ABENEVIN I'm there"""
861576721958678529,2017-05-08 13:41:12,b'@captain_kirk_88 \xe2\x9d\xa4\xe2\x9d\xa4\xe2\x9d\xa4'
861415248632451072,2017-05-08 02:59:34,b'@darth @NYTMinusContext you are truly an all-purpose red panda and I appreciate you'
861411114311184385,2017-05-08 02:43:08,b'@NYTMinusContext I want this tattooed on my forehead'
861384059670470660,2017-05-08 00:55:38,b'.@Luvina_things probably heard rumors about Kenneth though'
861383897657036800,2017-05-08 00:54:59,"b""This is Hobbes. He's never seen bubbles before. 13/10 deep breaths buddy https://t.co/QFRlbZw4Z1"""
861289239706775552,2017-05-07 18:38:51,b'This video was brought to you by this wonderful Instagram page! Give it a follow \xf0\x9f\x90\xb6\nhttps://t.co/No7m43kHXN'
861288531465048066,2017-05-07 18:36:02,"b""HI. MY. NAME. IS. BOOMER. AND. I. WANT. TO. SAY. IT'S. H*CKIN. RIDICULOUS. THAT. DOGS. CAN'T VOTE. ABSOLUTE. CODSWA\xe2\x80\xa6 https://t.co/4LsQRyEp9j"""
861281240116342787,2017-05-07 18:07:04,b'@VanalstineLily @thedogist 28 Reasons Dogs Should Vote'
861264049627176960,2017-05-07 16:58:45,"b""@laurenduca @kbrizzie1020 send us some pics! We'll do our best to change that \xf0\x9f\x98\x89"""
861263286955847680,2017-05-07 16:55:43,"b'@Athletics this is a perfect example of a very good dog, Oakland'"
861217421692194816,2017-05-07 13:53:28,b'@notyourfaceboi @skyhorsepub October'
861024633973329920,2017-05-07 01:07:24,b'@devyn0210 Yes'
861023061440638977,2017-05-07 01:01:09,b'@Brosuph @sdanemarks our store\nhttps://t.co/kkqjs7Y3i9'
861013867031404544,2017-05-07 00:24:37,b'@_chandler16 @__aangiee @sdanemarks @alchkimist Coming soon'
861005113778896900,2017-05-06 23:49:50,b'This is Burt. He thinks your thesis statement is comically underdeveloped. 12/10 intellectual af https://t.co/jH6EN9cEn6'
860989735615049728,2017-05-06 22:48:44,b'@TheClarksTale @sdanemarks :)\nhttps://t.co/kfNZmQiAR4'
860983917033267200,2017-05-06 22:25:36,"b'RT @sdanemarks: v happy about my ""mothers day"" gifts to myself (: @dog_rates https://t.co/B3rCZLX1lx'"
860981674716409858,2017-05-06 22:16:42,"b""RT @dog_rates: Meet Lorenzo. He's an avid nifty hat wearer and absolute 13/10, but he needs your help to beat cancer. Link below\n\nhttps://t\xe2\x80\xa6"""
860944040782639104,2017-05-06 19:47:09,b'RT @Gr8ones_: TOOK TOBY CANOEING \xf0\x9f\x9b\xb6 https://t.co/ULAwQULPIV'
860924035999428608,2017-05-06 18:27:40,b'RT @tallylott: h*ckin adorable promposal. 13/10 @dog_rates https://t.co/6n8hzNihJ9'
