title,rating
13th,9.0
42,7.67
Abraham Lincoln: Vampire Hunter,5.86
Alice in Wonderland,6.5
Arthur Christmas,8.5
Before Sunset,7.75
Bridget Jones's Baby,7.0
Cape Fear,7.25
Cars,8.5
Cobain: Montage of Heck,8.5
Contraband,5.25
Dead Poets Society,8.75
Defiance,8.0
Delivery Man,6.21
Drive,7.89
Eat Pray Love,6.0
Flipped,8.0
Forgetting Sarah Marshall,8.0
Hercules,6.42
If I Stay,7.36
Iron Man 3,7.83
Just Go with It,6.43
Kari-gurashi no Arietti,7.86
Kung Fu Panda,7.75
Les Misérables,7.78
"Me, Myself & Irene",6.33
Moulin Rouge!,8.14
Mr. Turner,5.6
Night at the Museum: Secret of the Tomb,6.56
Reservoir Dogs,8.5
Rush,8.31
Solace,7.67
Spy,7.24
Ted 2,6.46
Terminator 3: Rise of the Machines,6.33
The Big Short,7.63
The Bourne Identity,7.43
The Day After Tomorrow,7.5
The Fast and the Furious,6.78
The Fate of the Furious,7.55
The Others,8.0
The Rewrite,5.5
The Thin Red Line,3.54
The Ugly Truth,8.0
The Wolf of Wall Street,8.39
Thor,7.24
Total Recall,6.0
Tropic Thunder,7.8
Who Am I - Kein System ist sicher,9.0
Wreck-It Ralph,8.22
