timestamp,cpu_percent,fan_rpm,sys_load_1,temperature
2017-06-06 07:37:45.666548,1.3599999999999999,664,0.97,35
2017-06-06 07:38:45.670578,4.26,660,0.48,34
2017-06-06 07:39:45.674494,0.38,653,0.39,35
2017-06-06 07:40:45.678538,1.11,651,0.14,34
2017-06-06 07:41:45.682443,0.88,648,0.11,34
2017-06-06 07:42:45.685765,11.06,658,0.85,38
2017-06-06 07:43:45.689003,4.21,650,1.1400000000000001,36
2017-06-06 07:44:45.692201,19.56,671,1.32,46
2017-06-06 07:45:45.695350,18.64,712,1.26,46
2017-06-06 07:46:45.698719,6.4,688,0.97,40
2017-06-06 07:47:45.702723,0.25,679,0.46,37
2017-06-06 07:48:45.706895,4.01,678,0.17,35
2017-06-06 07:49:45.711057,0.5,660,0.14,36
2017-06-06 07:50:45.715108,0.49,666,0.35000000000000003,35
2017-06-06 07:51:45.719086,0.62,682,0.29,38
2017-06-06 07:52:45.723132,0.5,652,0.43,35
2017-06-06 07:53:45.727262,0.5,648,0.15,34
2017-06-06 07:54:45.731471,0.62,651,0.11,34
2017-06-06 07:55:45.735510,0.88,660,0.53,35
2017-06-06 07:56:45.739472,0.62,667,0.36,36
2017-06-06 07:57:45.743626,0.62,658,0.13,36
2017-06-06 07:58:45.747753,4.62,667,0.09,35
2017-06-06 07:59:45.751780,0.89,659,0.22,34
2017-06-06 08:00:45.755943,1.38,662,0.08,34
2017-06-06 08:01:45.759968,0.88,657,0.03,34
2017-06-06 08:02:45.764061,0.89,648,0.01,34
2017-06-06 08:03:45.768135,1.0,652,0.07,34
2017-06-06 08:04:45.772252,1.0,659,0.29,35
2017-06-06 08:05:45.776392,1.1400000000000001,655,0.11,35
2017-06-06 08:06:45.780542,1.25,633,0.04,36
2017-06-06 08:07:45.784695,1.3599999999999999,633,0.47000000000000003,34
2017-06-06 08:08:45.788800,4.5,645,0.35000000000000003,34
2017-06-06 08:09:45.792797,1.25,643,0.13,34
2017-06-06 08:10:45.796854,1.62,634,0.34,33
2017-06-06 08:11:45.800980,1.11,642,0.42,33
2017-06-06 08:12:45.805097,1.1400000000000001,646,0.59,34
2017-06-06 08:13:45.809214,1.74,643,0.21,33
2017-06-06 08:14:45.813335,1.24,633,0.08,33
2017-06-06 08:15:45.817377,1.49,641,0.03,33
2017-06-06 08:16:45.821563,1.1400000000000001,645,0.43,34
2017-06-06 08:17:45.825723,1.5,644,0.16,33
2017-06-06 08:18:45.829880,5.69,639,0.1,33
2017-06-06 08:19:45.833984,1.3599999999999999,633,0.46,34
2017-06-06 08:20:45.838166,1.12,639,0.17,33
2017-06-06 08:21:45.842332,1.5,643,0.19,32
2017-06-06 08:22:45.846507,1.5,637,0.07,33
2017-06-06 08:23:45.850679,1.3900000000000001,633,0.23,34
2017-06-06 08:24:45.854844,1.5,637,0.16,33
2017-06-06 08:25:45.858954,1.38,637,0.06,33
2017-06-06 08:26:45.863189,1.6099999999999999,639,0.08,33
2017-06-06 08:27:45.867306,1.25,638,0.19,33
2017-06-06 08:28:45.871416,4.89,641,0.74,34
2017-06-06 08:29:45.875581,1.75,645,0.31,33
2017-06-06 08:30:45.879708,1.5,641,0.26,33
2017-06-06 08:31:45.883887,1.38,647,0.17,33
2017-06-06 08:32:45.888148,1.98,637,0.15,32
2017-06-06 08:33:45.892288,1.8900000000000001,645,0.32,32
2017-06-06 08:34:45.896512,1.4,640,0.15,33
2017-06-06 08:35:45.900689,1.3599999999999999,643,0.05,32
2017-06-06 08:36:45.904847,1.65,632,0.02,33
2017-06-06 08:37:45.908949,1.74,641,0.04,33
2017-06-06 08:38:45.913097,4.35,633,0.16,33
2017-06-06 08:39:45.917318,1.38,638,0.35000000000000003,34
2017-06-06 08:40:45.921396,1.75,637,0.13,34
2017-06-06 08:41:45.925506,1.38,642,0.05,33
2017-06-06 08:42:45.929665,1.6,638,0.54,34
2017-06-06 08:43:45.933806,1.38,644,0.23,34
2017-06-06 08:44:45.937958,1.5,641,0.12,33
2017-06-06 08:45:45.942117,2.25,641,0.36,34
2017-06-06 08:46:45.946246,1.6400000000000001,643,0.13,33
2017-06-06 08:47:45.950371,1.26,652,0.05,34
2017-06-06 08:48:45.954473,5.21,642,0.08,33
