Date/Time,Weather,Mapped,Filename
2016-06-05 07:00:00,Mainly Clear,Clear,katkam-20160605070000.jpg
2016-06-05 10:00:00,Mostly Cloudy,Cloudy,katkam-20160605100000.jpg
2016-06-05 13:00:00,Mostly Cloudy,Cloudy,katkam-20160605130000.jpg
2016-06-05 16:00:00,Mostly Cloudy,Cloudy,katkam-20160605160000.jpg
2016-06-05 19:00:00,Mostly Cloudy,Cloudy,katkam-20160605190000.jpg
2016-06-06 07:00:00,Mostly Cloudy,Cloudy,katkam-20160606070000.jpg
2016-06-06 10:00:00,Mostly Cloudy,Cloudy,katkam-20160606100000.jpg
2016-06-06 13:00:00,Mostly Cloudy,Cloudy,katkam-20160606130000.jpg
2016-06-06 16:00:00,Mainly Clear,Clear,katkam-20160606160000.jpg
2016-06-06 19:00:00,Mostly Cloudy,Cloudy,katkam-20160606190000.jpg
2016-06-07 07:00:00,Mainly Clear,Clear,katkam-20160607070000.jpg
2016-06-07 10:00:00,Mainly Clear,Clear,katkam-20160607100000.jpg
2016-06-07 13:00:00,Mostly Cloudy,Cloudy,katkam-20160607130000.jpg
2016-06-07 16:00:00,Cloudy,Cloudy,katkam-20160607160000.jpg
2016-06-07 19:00:00,Cloudy,Cloudy,katkam-20160607190000.jpg
2016-06-08 07:00:00,Cloudy,Cloudy,katkam-20160608070000.jpg
2016-06-08 10:00:00,Cloudy,Cloudy,katkam-20160608100000.jpg
2016-06-08 12:00:00,Rain Showers,"Rain,Cloudy",katkam-20160608120000.jpg
2016-06-08 13:00:00,Cloudy,Cloudy,katkam-20160608130000.jpg
2016-06-08 16:00:00,Mostly Cloudy,Cloudy,katkam-20160608160000.jpg
2016-06-08 19:00:00,Mainly Clear,Clear,katkam-20160608190000.jpg
2016-06-09 07:00:00,Mostly Cloudy,Cloudy,katkam-20160609070000.jpg
2016-06-09 10:00:00,Mostly Cloudy,Cloudy,katkam-20160609100000.jpg
2016-06-09 13:00:00,Mostly Cloudy,Cloudy,katkam-20160609130000.jpg
2016-06-09 16:00:00,Mostly Cloudy,Cloudy,katkam-20160609160000.jpg
2016-06-09 19:00:00,Mostly Cloudy,Cloudy,katkam-20160609190000.jpg
2016-06-10 07:00:00,Mostly Cloudy,Cloudy,katkam-20160610070000.jpg
2016-06-10 10:00:00,Mostly Cloudy,Cloudy,katkam-20160610100000.jpg
2016-06-10 13:00:00,Mainly Clear,Clear,katkam-20160610130000.jpg
2016-06-10 16:00:00,Mostly Cloudy,Cloudy,katkam-20160610160000.jpg
2016-06-10 19:00:00,Mainly Clear,Clear,katkam-20160610190000.jpg
2016-06-11 06:00:00,Rain Showers,"Rain,Cloudy",katkam-20160611060000.jpg
2016-06-11 07:00:00,Rain Showers,"Rain,Cloudy",katkam-20160611070000.jpg
2016-06-11 10:00:00,Cloudy,Cloudy,katkam-20160611100000.jpg
2016-06-11 13:00:00,Cloudy,Cloudy,katkam-20160611130000.jpg
2016-06-11 16:00:00,Mostly Cloudy,Cloudy,katkam-20160611160000.jpg
2016-06-11 19:00:00,Mainly Clear,Clear,katkam-20160611190000.jpg
2016-06-12 07:00:00,Mostly Cloudy,Cloudy,katkam-20160612070000.jpg
2016-06-12 10:00:00,Mostly Cloudy,Cloudy,katkam-20160612100000.jpg
2016-06-12 13:00:00,Mainly Clear,Clear,katkam-20160612130000.jpg
2016-06-12 16:00:00,Mostly Cloudy,Cloudy,katkam-20160612160000.jpg
2016-06-12 19:00:00,Mostly Cloudy,Cloudy,katkam-20160612190000.jpg
2016-06-13 06:00:00,Rain Showers,"Rain,Cloudy",katkam-20160613060000.jpg
2016-06-13 07:00:00,Cloudy,Cloudy,katkam-20160613070000.jpg
2016-06-13 08:00:00,Rain Showers,"Rain,Cloudy",katkam-20160613080000.jpg
2016-06-13 09:00:00,Rain Showers,"Rain,Cloudy",katkam-20160613090000.jpg
2016-06-13 10:00:00,Mostly Cloudy,Cloudy,katkam-20160613100000.jpg
2016-06-13 13:00:00,Mostly Cloudy,Cloudy,katkam-20160613130000.jpg
2016-06-13 16:00:00,Mostly Cloudy,Cloudy,katkam-20160613160000.jpg
2016-06-13 19:00:00,Mainly Clear,Clear,katkam-20160613190000.jpg
2016-06-14 07:00:00,Cloudy,Cloudy,katkam-20160614070000.jpg
2016-06-14 10:00:00,Cloudy,Cloudy,katkam-20160614100000.jpg
2016-06-14 13:00:00,Moderate Rain Showers,"Rain,Cloudy",katkam-20160614130000.jpg
2016-06-14 14:00:00,Rain Showers,"Rain,Cloudy",katkam-20160614140000.jpg
2016-06-14 16:00:00,Cloudy,Cloudy,katkam-20160614160000.jpg
2016-06-14 19:00:00,Mostly Cloudy,Cloudy,katkam-20160614190000.jpg
2016-06-15 07:00:00,Rain Showers,"Rain,Cloudy",katkam-20160615070000.jpg
2016-06-15 10:00:00,Cloudy,Cloudy,katkam-20160615100000.jpg
2016-06-15 13:00:00,Mostly Cloudy,Cloudy,katkam-20160615130000.jpg
2016-06-15 16:00:00,Mainly Clear,Clear,katkam-20160615160000.jpg
2016-06-15 19:00:00,Clear,Clear,katkam-20160615190000.jpg
2016-06-16 07:00:00,Mostly Cloudy,Cloudy,katkam-20160616070000.jpg
2016-06-16 10:00:00,Mostly Cloudy,Cloudy,katkam-20160616100000.jpg
2016-06-16 13:00:00,Mostly Cloudy,Cloudy,katkam-20160616130000.jpg
2016-06-16 16:00:00,Mostly Cloudy,Cloudy,katkam-20160616160000.jpg
2016-06-16 19:00:00,Mostly Cloudy,Cloudy,katkam-20160616190000.jpg
2016-06-17 07:00:00,Mainly Clear,Clear,katkam-20160617070000.jpg
2016-06-17 10:00:00,Mainly Clear,Clear,katkam-20160617100000.jpg
2016-06-17 13:00:00,Mainly Clear,Clear,katkam-20160617130000.jpg
2016-06-17 16:00:00,Mainly Clear,Clear,katkam-20160617160000.jpg
2016-06-17 19:00:00,Mostly Cloudy,Cloudy,katkam-20160617190000.jpg
2016-06-17 20:00:00,Rain Showers,"Rain,Cloudy",katkam-20160617200000.jpg
2016-06-18 06:00:00,Rain,"Rain,Cloudy",katkam-20160618060000.jpg
2016-06-18 07:00:00,Rain,"Rain,Cloudy",katkam-20160618070000.jpg
2016-06-18 08:00:00,Rain,"Rain,Cloudy",katkam-20160618080000.jpg
2016-06-18 09:00:00,Rain,"Rain,Cloudy",katkam-20160618090000.jpg
2016-06-18 10:00:00,Rain,"Rain,Cloudy",katkam-20160618100000.jpg
2016-06-18 11:00:00,Rain,"Rain,Cloudy",katkam-20160618110000.jpg
2016-06-18 12:00:00,Rain,"Rain,Cloudy",katkam-20160618120000.jpg
2016-06-18 13:00:00,Rain,"Rain,Cloudy",katkam-20160618130000.jpg
2016-06-18 14:00:00,Rain,"Rain,Cloudy",katkam-20160618140000.jpg
2016-06-18 15:00:00,Rain,"Rain,Cloudy",katkam-20160618150000.jpg
2016-06-18 16:00:00,Rain,"Rain,Cloudy",katkam-20160618160000.jpg
2016-06-18 17:00:00,Rain,"Rain,Cloudy",katkam-20160618170000.jpg
2016-06-18 19:00:00,Cloudy,Cloudy,katkam-20160618190000.jpg
2016-06-18 21:00:00,Rain Showers,"Rain,Cloudy",katkam-20160618210000.jpg
2016-06-19 06:00:00,Rain Showers,"Rain,Cloudy",katkam-20160619060000.jpg
2016-06-19 07:00:00,Cloudy,Cloudy,katkam-20160619070000.jpg
2016-06-19 10:00:00,Cloudy,Cloudy,katkam-20160619100000.jpg
2016-06-19 13:00:00,Cloudy,Cloudy,katkam-20160619130000.jpg
2016-06-19 16:00:00,Mainly Clear,Clear,katkam-20160619160000.jpg
2016-06-19 19:00:00,Mainly Clear,Clear,katkam-20160619190000.jpg
2016-06-20 07:00:00,Mostly Cloudy,Cloudy,katkam-20160620070000.jpg
2016-06-20 10:00:00,Mostly Cloudy,Cloudy,katkam-20160620100000.jpg
2016-06-20 13:00:00,Mostly Cloudy,Cloudy,katkam-20160620130000.jpg
2016-06-20 16:00:00,Mostly Cloudy,Cloudy,katkam-20160620160000.jpg
2016-06-20 19:00:00,Mainly Clear,Clear,katkam-20160620190000.jpg
2016-06-21 07:00:00,Mostly Cloudy,Cloudy,katkam-20160621070000.jpg
2016-06-21 10:00:00,Cloudy,Cloudy,katkam-20160621100000.jpg
2016-06-21 13:00:00,Mostly Cloudy,Cloudy,katkam-20160621130000.jpg
2016-06-21 16:00:00,Mostly Cloudy,Cloudy,katkam-20160621160000.jpg
2016-06-21 19:00:00,Mostly Cloudy,Cloudy,katkam-20160621190000.jpg
2016-06-22 07:00:00,Cloudy,Cloudy,katkam-20160622070000.jpg
2016-06-22 10:00:00,Cloudy,Cloudy,katkam-20160622100000.jpg
2016-06-22 13:00:00,Cloudy,Cloudy,katkam-20160622130000.jpg
2016-06-22 16:00:00,Cloudy,Cloudy,katkam-20160622160000.jpg
2016-06-22 17:00:00,Rain,"Rain,Cloudy",katkam-20160622170000.jpg
2016-06-22 19:00:00,Rain,"Rain,Cloudy",katkam-20160622190000.jpg
2016-06-22 20:00:00,Rain,"Rain,Cloudy",katkam-20160622200000.jpg
2016-06-22 21:00:00,Rain,"Rain,Cloudy",katkam-20160622210000.jpg
2016-06-23 06:00:00,Rain,"Rain,Cloudy",katkam-20160623060000.jpg
2016-06-23 07:00:00,Rain,"Rain,Cloudy",katkam-20160623070000.jpg
2016-06-23 08:00:00,"Rain,Fog","Rain,Cloudy,Fog",katkam-20160623080000.jpg
2016-06-23 09:00:00,"Rain,Fog","Rain,Cloudy,Fog",katkam-20160623090000.jpg
2016-06-23 10:00:00,Cloudy,Cloudy,katkam-20160623100000.jpg
2016-06-23 13:00:00,Cloudy,Cloudy,katkam-20160623130000.jpg
2016-06-23 16:00:00,Mainly Clear,Clear,katkam-20160623160000.jpg
2016-06-23 19:00:00,Mostly Cloudy,Cloudy,katkam-20160623190000.jpg
2016-06-24 07:00:00,Cloudy,Cloudy,katkam-20160624070000.jpg
2016-06-24 10:00:00,Cloudy,Cloudy,katkam-20160624100000.jpg
2016-06-24 13:00:00,Mostly Cloudy,Cloudy,katkam-20160624130000.jpg
2016-06-24 16:00:00,Cloudy,Cloudy,katkam-20160624160000.jpg
2016-06-24 19:00:00,Cloudy,Cloudy,katkam-20160624190000.jpg
2016-06-25 07:00:00,Cloudy,Cloudy,katkam-20160625070000.jpg
2016-06-25 10:00:00,Cloudy,Cloudy,katkam-20160625100000.jpg
2016-06-25 13:00:00,Mainly Clear,Clear,katkam-20160625130000.jpg
2016-06-25 16:00:00,Mostly Cloudy,Cloudy,katkam-20160625160000.jpg
2016-06-25 19:00:00,Clear,Clear,katkam-20160625190000.jpg
2016-06-26 07:00:00,Clear,Clear,katkam-20160626070000.jpg
2016-06-26 10:00:00,Mainly Clear,Clear,katkam-20160626100000.jpg
2016-06-26 13:00:00,Clear,Clear,katkam-20160626130000.jpg
2016-06-26 16:00:00,Mainly Clear,Clear,katkam-20160626160000.jpg
2016-06-26 19:00:00,Mainly Clear,Clear,katkam-20160626190000.jpg
2016-06-27 07:00:00,Mostly Cloudy,Cloudy,katkam-20160627070000.jpg
2016-06-27 10:00:00,Mostly Cloudy,Cloudy,katkam-20160627100000.jpg
2016-06-27 13:00:00,Mostly Cloudy,Cloudy,katkam-20160627130000.jpg
2016-06-27 16:00:00,Clear,Clear,katkam-20160627160000.jpg
2016-06-27 19:00:00,Mainly Clear,Clear,katkam-20160627190000.jpg
2016-06-28 07:00:00,Clear,Clear,katkam-20160628070000.jpg
2016-06-28 10:00:00,Clear,Clear,katkam-20160628100000.jpg
2016-06-28 13:00:00,Clear,Clear,katkam-20160628130000.jpg
2016-06-28 16:00:00,Clear,Clear,katkam-20160628160000.jpg
2016-06-28 19:00:00,Mainly Clear,Clear,katkam-20160628190000.jpg
2016-06-29 07:00:00,Mainly Clear,Clear,katkam-20160629070000.jpg
2016-06-29 10:00:00,Clear,Clear,katkam-20160629100000.jpg
2016-06-29 13:00:00,Clear,Clear,katkam-20160629130000.jpg
2016-06-29 16:00:00,Clear,Clear,katkam-20160629160000.jpg
2016-06-29 19:00:00,Clear,Clear,katkam-20160629190000.jpg
2016-06-30 07:00:00,Mostly Cloudy,Cloudy,katkam-20160630070000.jpg
2016-06-30 10:00:00,Mostly Cloudy,Cloudy,katkam-20160630100000.jpg
2016-06-30 13:00:00,Cloudy,Cloudy,katkam-20160630130000.jpg
2016-06-30 16:00:00,Mostly Cloudy,Cloudy,katkam-20160630160000.jpg
2016-06-30 19:00:00,Mostly Cloudy,Cloudy,katkam-20160630190000.jpg
2016-07-01 07:00:00,Rain,"Rain,Cloudy",katkam-20160701070000.jpg
2016-07-01 10:00:00,Rain,"Rain,Cloudy",katkam-20160701100000.jpg
2016-07-01 13:00:00,Cloudy,Cloudy,katkam-20160701130000.jpg
2016-07-01 16:00:00,Mainly Clear,Clear,katkam-20160701160000.jpg
2016-07-01 19:00:00,Cloudy,Cloudy,katkam-20160701190000.jpg
2016-07-02 07:00:00,Mostly Cloudy,Cloudy,katkam-20160702070000.jpg
2016-07-02 10:00:00,Mostly Cloudy,Cloudy,katkam-20160702100000.jpg
2016-07-02 13:00:00,Mostly Cloudy,Cloudy,katkam-20160702130000.jpg
2016-07-02 16:00:00,Mostly Cloudy,Cloudy,katkam-20160702160000.jpg
2016-07-02 19:00:00,Mainly Clear,Clear,katkam-20160702190000.jpg
2016-07-03 07:00:00,Mainly Clear,Clear,katkam-20160703070000.jpg
2016-07-03 10:00:00,Mainly Clear,Clear,katkam-20160703100000.jpg
2016-07-03 13:00:00,Mainly Clear,Clear,katkam-20160703130000.jpg
2016-07-03 16:00:00,Mainly Clear,Clear,katkam-20160703160000.jpg
2016-07-03 19:00:00,Mostly Cloudy,Cloudy,katkam-20160703190000.jpg
2016-07-04 07:00:00,Cloudy,Cloudy,katkam-20160704070000.jpg
2016-07-04 10:00:00,Mostly Cloudy,Cloudy,katkam-20160704100000.jpg
2016-07-04 13:00:00,Mostly Cloudy,Cloudy,katkam-20160704130000.jpg
2016-07-04 16:00:00,Mostly Cloudy,Cloudy,katkam-20160704160000.jpg
2016-07-04 19:00:00,Mostly Cloudy,Cloudy,katkam-20160704190000.jpg
2016-07-05 07:00:00,Cloudy,Cloudy,katkam-20160705070000.jpg
2016-07-05 11:00:00,Rain,"Rain,Cloudy",katkam-20160705110000.jpg
2016-07-05 13:00:00,Mostly Cloudy,Cloudy,katkam-20160705130000.jpg
2016-07-05 16:00:00,Mostly Cloudy,Cloudy,katkam-20160705160000.jpg
2016-07-05 19:00:00,Mostly Cloudy,Cloudy,katkam-20160705190000.jpg
2016-07-06 07:00:00,Mostly Cloudy,Cloudy,katkam-20160706070000.jpg
2016-07-06 10:00:00,Mainly Clear,Clear,katkam-20160706100000.jpg
2016-07-06 13:00:00,Mainly Clear,Clear,katkam-20160706130000.jpg
2016-07-06 16:00:00,Mainly Clear,Clear,katkam-20160706160000.jpg
2016-07-06 19:00:00,Mainly Clear,Clear,katkam-20160706190000.jpg
2016-07-07 06:00:00,Rain,"Rain,Cloudy",katkam-20160707060000.jpg
2016-07-07 07:00:00,Rain,"Rain,Cloudy",katkam-20160707070000.jpg
2016-07-07 08:00:00,Rain,"Rain,Cloudy",katkam-20160707080000.jpg
2016-07-07 09:00:00,Rain,"Rain,Cloudy",katkam-20160707090000.jpg
2016-07-07 10:00:00,Rain,"Rain,Cloudy",katkam-20160707100000.jpg
2016-07-07 11:00:00,Rain,"Rain,Cloudy",katkam-20160707110000.jpg
2016-07-07 12:00:00,Rain,"Rain,Cloudy",katkam-20160707120000.jpg
2016-07-07 13:00:00,Rain Showers,"Rain,Cloudy",katkam-20160707130000.jpg
2016-07-07 15:00:00,Drizzle,"Rain,Cloudy",katkam-20160707150000.jpg
2016-07-07 16:00:00,Cloudy,Cloudy,katkam-20160707160000.jpg
2016-07-07 18:00:00,Rain,"Rain,Cloudy",katkam-20160707180000.jpg
2016-07-07 19:00:00,Rain,"Rain,Cloudy",katkam-20160707190000.jpg
2016-07-08 07:00:00,Mostly Cloudy,Cloudy,katkam-20160708070000.jpg
2016-07-08 10:00:00,Cloudy,Cloudy,katkam-20160708100000.jpg
2016-07-08 13:00:00,Mostly Cloudy,Cloudy,katkam-20160708130000.jpg
2016-07-08 16:00:00,Mostly Cloudy,Cloudy,katkam-20160708160000.jpg
2016-07-08 19:00:00,Mostly Cloudy,Cloudy,katkam-20160708190000.jpg
2016-07-09 06:00:00,"Rain Showers,Fog","Rain,Cloudy,Fog",katkam-20160709060000.jpg
2016-07-09 07:00:00,Rain Showers,"Rain,Cloudy",katkam-20160709070000.jpg
2016-07-09 10:00:00,Mostly Cloudy,Cloudy,katkam-20160709100000.jpg
2016-07-09 13:00:00,Mostly Cloudy,Cloudy,katkam-20160709130000.jpg
2016-07-09 16:00:00,Mostly Cloudy,Cloudy,katkam-20160709160000.jpg
2016-07-09 19:00:00,Cloudy,Cloudy,katkam-20160709190000.jpg
2016-07-10 07:00:00,Mostly Cloudy,Cloudy,katkam-20160710070000.jpg
2016-07-10 10:00:00,Mainly Clear,Clear,katkam-20160710100000.jpg
2016-07-10 13:00:00,Mainly Clear,Clear,katkam-20160710130000.jpg
2016-07-10 16:00:00,Mainly Clear,Clear,katkam-20160710160000.jpg
2016-07-10 19:00:00,Mostly Cloudy,Cloudy,katkam-20160710190000.jpg
2016-07-11 07:00:00,Mostly Cloudy,Cloudy,katkam-20160711070000.jpg
2016-07-11 10:00:00,Cloudy,Cloudy,katkam-20160711100000.jpg
2016-07-11 13:00:00,Mostly Cloudy,Cloudy,katkam-20160711130000.jpg
2016-07-11 16:00:00,Mostly Cloudy,Cloudy,katkam-20160711160000.jpg
2016-07-11 19:00:00,Mostly Cloudy,Cloudy,katkam-20160711190000.jpg
2016-07-12 06:00:00,Rain,"Rain,Cloudy",katkam-20160712060000.jpg
2016-07-12 07:00:00,Rain,"Rain,Cloudy",katkam-20160712070000.jpg
2016-07-12 08:00:00,Rain,"Rain,Cloudy",katkam-20160712080000.jpg
2016-07-12 09:00:00,Rain,"Rain,Cloudy",katkam-20160712090000.jpg
2016-07-12 10:00:00,Cloudy,Cloudy,katkam-20160712100000.jpg
2016-07-12 13:00:00,Cloudy,Cloudy,katkam-20160712130000.jpg
2016-07-12 16:00:00,Mostly Cloudy,Cloudy,katkam-20160712160000.jpg
2016-07-12 19:00:00,Mostly Cloudy,Cloudy,katkam-20160712190000.jpg
2016-07-13 07:00:00,Cloudy,Cloudy,katkam-20160713070000.jpg
2016-07-13 10:00:00,Mostly Cloudy,Cloudy,katkam-20160713100000.jpg
2016-07-13 13:00:00,Mainly Clear,Clear,katkam-20160713130000.jpg
2016-07-13 16:00:00,Mainly Clear,Clear,katkam-20160713160000.jpg
2016-07-13 19:00:00,Clear,Clear,katkam-20160713190000.jpg
2016-07-14 07:00:00,Cloudy,Cloudy,katkam-20160714070000.jpg
2016-07-14 10:00:00,Mostly Cloudy,Cloudy,katkam-20160714100000.jpg
2016-07-14 13:00:00,Mostly Cloudy,Cloudy,katkam-20160714130000.jpg
2016-07-14 16:00:00,Rain,"Rain,Cloudy",katkam-20160714160000.jpg
2016-07-14 19:00:00,Mainly Clear,Clear,katkam-20160714190000.jpg
2016-07-15 07:00:00,Mostly Cloudy,Cloudy,katkam-20160715070000.jpg
2016-07-15 10:00:00,Mostly Cloudy,Cloudy,katkam-20160715100000.jpg
2016-07-15 13:00:00,Mainly Clear,Clear,katkam-20160715130000.jpg
2016-07-15 16:00:00,Mainly Clear,Clear,katkam-20160715160000.jpg
2016-07-15 19:00:00,Mostly Cloudy,Cloudy,katkam-20160715190000.jpg
2016-07-16 07:00:00,Cloudy,Cloudy,katkam-20160716070000.jpg
2016-07-16 08:00:00,Drizzle,"Rain,Cloudy",katkam-20160716080000.jpg
2016-07-16 10:00:00,Cloudy,Cloudy,katkam-20160716100000.jpg
